  0 0.00000000e+00
  1 1.50349389e-01
  2 2.09993287e+00
  3 9.01778938e+00
  4 2.38938260e+01
  5 4.85917406e+01
  6 8.35904979e+01
  7 1.28113232e+02
  8 1.80434284e+02
  9 2.38234507e+02
 10 2.98931967e+02
 11 3.59952952e+02
 12 4.18931828e+02
 13 4.73841912e+02
 14 5.23066581e+02
 15 5.65422643e+02
 16 6.00148307e+02
 17 6.26866985e+02
 18 6.45536395e+02
 19 6.56390512e+02
 20 6.59880000e+02
 21 6.56615137e+02
 22 6.47313829e+02
 23 6.32756215e+02
 24 6.13746519e+02
 25 5.91082207e+02
 26 5.65530065e+02
 27 5.37808584e+02
 28 5.08575857e+02
 29 4.78422167e+02
 30 4.47866422e+02
 31 4.17355665e+02
 32 3.87266947e+02
 33 3.57910931e+02
 34 3.29536697e+02
 35 3.02337307e+02
 36 2.76455771e+02
 37 2.51991116e+02
 38 2.29004366e+02
 39 2.07524251e+02
 40 1.87552550e+02
 41 1.69068986e+02
 42 1.52035651e+02
 43 1.36400921e+02
 44 1.22102898e+02
 45 1.09072368e+02
 46 9.72353199e+01
 47 8.65150620e+01
 48 7.68339587e+01
 49 6.81148424e+01
 50 6.02821307e+01
 51 5.32626907e+01
 52 4.69864838e+01
 53 4.13870251e+01
 54 3.64016876e+01
 55 3.19718771e+01
 56 2.80431031e+01
 57 2.45649656e+01
 58 2.14910761e+01
 59 1.87789288e+01
 60 1.63897342e+01
 61 1.42882278e+01
 62 1.24424602e+01
 63 1.08235796e+01
 64 9.40560901e+00
 65 8.16522559e+00
 66 7.08154456e+00
 67 6.13591041e+00
 68 5.31169774e+00
 69 4.59412287e+00
 70 3.97006713e+00
 71 3.42791225e+00
 72 2.95738802e+00
 73 2.54943201e+00
 74 2.19606110e+00
 75 1.89025430e+00
 76 1.62584632e+00
 77 1.39743132e+00
 78 1.20027601e+00
 79 1.03024166e+00
  80 0.00000000e+00
